video_id,comment,author,published_at
X_7hj0t48aU,6.46 radio metrópoli 1150am,@saragallardo8364,2026-05-18T12:46:57Z
X_7hj0t48aU,"Y sobre la plata, qué?",@kioniro1601,2026-05-18T12:40:00Z
X_7hj0t48aU,Y el oro que va a hacer?,@kioniro1601,2026-05-18T12:39:40Z
X_7hj0t48aU,6.20 am,@saragallardo8364,2026-05-18T12:39:12Z
X_7hj0t48aU,Y Bitcoin que va a hacer?,@kioniro1601,2026-05-18T12:38:56Z
X_7hj0t48aU,"Dinero para la guerra hay a raudales siempre. 
Y europa sigue lamiéndole las botas a naranjito",@kioniro1601,2026-05-18T12:38:06Z
X_7hj0t48aU,trump con su ignorancia y su incopetencia esta provocando una catastrofe en la economia de USA y no tiene ni la mas minima idea de por donde vaya a ganar su guerra fracazada contra iran,@carmeloalvaradosoto4583,2026-05-18T12:37:27Z
X_7hj0t48aU,"Trump  está  sedento por petróleo e urânio 
Quer o urânio  do IRÃ  de qualquer  maneira 
Trump  quer fazer c o IRÃ  , o q faz c o Iraque
Todo petróleo  q o Iraque vende , o dinheiro  vai todo 
 p os EUA, Trump  só  dá  uma mesada  ao Iraque, e c a Venezuela  faz o mesmo 
A Venezuela está sob administração e  ocupação  norte-americana, e querem fazer o mesmo c o IRÃ, c a ajuda das monarquias   do Golfo",@antoniacosta2111,2026-05-18T12:36:54Z
X_7hj0t48aU,Volvemos a 1973 con una inflación desbocada y la deuda al 18%,@kioniro1601,2026-05-18T12:36:37Z
X_7hj0t48aU,En resumen los prestatarios de historial crediticio estándar están en la insolvencia y recibirá propuestas que no puede pagar...,@JANNA145,2026-05-18T12:34:51Z
X_7hj0t48aU,entonces estamos mas jodidos que nunca !!! muchas gracias por informarnos !!,@cesarfauve2612,2026-05-18T12:29:51Z
X_7hj0t48aU,"Que alarmiste ères, las bolsas no caen",@eylinecanriera1886,2026-05-18T12:22:50Z
X_7hj0t48aU,Rematé de bonos !!!! A donde regresan ?????? A su lugar de origen  !!! Una gigantesca bola de nieve !,@jesusvazquez7786,2026-05-18T12:07:59Z
X_7hj0t48aU,Lo que estas contando no se refleja en los mercados puedes ser mas claro??😂😂,@josepmanelbaamondelata4268,2026-05-18T12:01:54Z
X_7hj0t48aU,"No grites tanto, por Dios!",@martafailde1322,2026-05-18T11:35:23Z
X_7hj0t48aU,"El Tramposo está blofeando con Irán, sólo amenaza para conseguir ganancias en los mercados. EU es un perro flaco que ladra pero no asusta, es un gigante de barro que se está desmoronando 😂😂😂😂😂😂",@manueltinoco7111,2026-05-18T11:31:29Z
X_7hj0t48aU,no se dice los pobres se dice zombis vivientes,@pepeadelp8689,2026-05-18T11:27:09Z
X_7hj0t48aU,Nuevo presidente de reserva federal ya se unió con Trump. Para utilizar sube o baja tasa de interés,@bryakorn2,2026-05-18T11:25:36Z
X_7hj0t48aU,"pero porque ponen el grafico a 1 minuto, son muy alarmistas!",@Entrada_Crypto,2026-05-18T11:25:17Z
X_7hj0t48aU,"Cada vez que EEUU tiene guerras o problemas económicos   los que sufren faltas de ,.... viven en  hispano américa",@DiegoSalguero-y5y,2026-05-18T11:20:48Z
