video_id,comment,author,published_at
yZ2p39BVwsE,¿Tú también crees que “nadie se lo cree”… o sí hay algo detrás?,@FútbolalLímiteHQ,2026-03-26T04:12:14Z
yZ2p39BVwsE,Cree que porque grita se borran los robos ¡,@elfermena,2026-03-27T14:52:50Z
yZ2p39BVwsE,Y que dicen los madridistas de Plaza,@AntonioMonzonOrtega,2026-03-26T20:06:39Z
yZ2p39BVwsE,"No es que les hayan perjudicado con el var ,es que cuando no había VAR , Siempre salía beneficiado el Madrid , siempre",@gerardomangado1711,2026-03-26T14:21:41Z
yZ2p39BVwsE,ahi esta lo que digo lomismo que leen asta donde les conviene pero lo que no  siempre va a justificar lo que saben que esta mal,@MarceloTorres-z6l,2026-03-26T11:39:54Z
yZ2p39BVwsE,"Toda España es del Madrid, Dios es del Madrid y la Santisima Trinidad es del Madrid. Pero qué carajo se han creido estos inútiles.  Nunca reconocerán que primero fueron el equipo del régimen y luego el equipo de Florentino Mafias y siempre han estado con el poder y las trampas.",@josepastudillopuig,2026-03-26T11:34:51Z
yZ2p39BVwsE,Se creen que somos tontos y no vemos lo que pasa partido tras partido juegan con otras reglas y lo saben manada de sinvergüenzas y encima con impunidad,@enriquemanueljuradorodrigu5682,2026-03-26T10:58:48Z
yZ2p39BVwsE,A ver si también ustedes sean más originales y siempre están con lo de negreira negreira,@lazarojuan7794,2026-03-26T10:13:48Z
yZ2p39BVwsE,En robar copas de europa. Tontarra,@vicentejimenez7882,2026-03-26T08:15:06Z
yZ2p39BVwsE,CHIRINCIRCO,@ricardompalacios,2026-03-26T07:53:56Z
yZ2p39BVwsE,Este año otro más sin mierda para Uds madridistas 😂😂😂,@JuanCarlosVillacis-k4m3p,2026-03-26T07:31:04Z
yZ2p39BVwsE,😂😂,@JuanCarlosVillacis-k4m3p,2026-03-26T07:30:23Z
yZ2p39BVwsE,El mandril  es el equipo más ladrón de el mundo en las noticias de todo el mundo lo sabe y lo ve,@luisalbertogarcia5095,2026-03-26T07:30:18Z
yZ2p39BVwsE,"Solo drama drama y drama...
Cuántas champions...
Comparadas 😂😂...
Dan ASCOOOOOOOO.....
Madridistas....
😂😂😂😂...",@JuanCarlosVillacis-k4m3p,2026-03-26T07:29:24Z
yZ2p39BVwsE,Dan ASCOOOOOOOO,@JuanCarlosVillacis-k4m3p,2026-03-26T07:27:25Z
yZ2p39BVwsE,Este Edu es gilipollas perdido 😅,@luisalbertoelcorobarrutiaa2118,2026-03-26T06:38:25Z
yZ2p39BVwsE,Se molestó fernandito uy que pena,@luisalbertoelcorobarrutiaa2118,2026-03-26T06:36:13Z
yZ2p39BVwsE,Más de cien años robando malditos tramposos ratas ratas y más ratas😅,@franciscotorres8994,2026-03-26T06:08:31Z
yZ2p39BVwsE,Estos del Madrid el descaro y lo sinvergüenzas que son ..esto ya se pasa ...que piensan   que el mundo ve todo y el mundo sabe los chorizos que son..el mundo lo sabe,@andresfernandoramosvallejo1857,2026-03-26T04:35:43Z
